,Belief In Earning Opportunity Equality,Belief In Pay Equality,Education Helps Women,Role Models Help Women,Family Planning Helps Women,Maternity Pay And Childcare Helps Women,Minimum Wage Help Women,Access To Banking Helps Women,Womens Groups And Charities Helps Women,What Helps Women?,Fear Of Violence Is A Barrier,Laws Against Women Working Are A Barrier,Family Responsibilities Are A Barrier,Lack Of Experience Or Skills Is A Barrier,Traditional Views Of Women Are A Barrier,Lack Of ICT Access Is A Barrier,What Are Barriers To Women?,Strength Of Belief That Government Is Helping Women,What Helped You The Most?,Gender,Education,Age
3485,No,No,Yes,No,No,No,No,Yes,No,,No,Yes,No,No,Yes,No,,4,"Education, Parental influence, Societal Role models, Being dogged & Financial backing.",Male,Beyond Secondary School,43
3486,No,No,Yes,No,No,No,No,No,No,,No,No,Yes,No,No,No,,3,"Education, supportive family, laws  that prevent discrimination, mentoring,   luck!",Female,Beyond Secondary School,34
3487,No,No,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,2,My family,Female,Beyond Secondary School,39
3488,No,Yes,Yes,Yes,No,No,No,No,No,,No,No,No,Yes,Yes,No,,4,"Contrairement a beaucoup dautres filles, jai bénéficié du soutien de ma famille pendant mes etudes",Female,Beyond Secondary School,25
3489,No,No,No,No,No,Yes,No,Yes,No,,No,No,Yes,No,Yes,No,,2,"A good education, supporting family and access to banking",Female,Beyond Secondary School,55
3490,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,No,Lack of education and economic empowerment.,1,Education.,Female,Beyond Secondary School,42
3491,No,No,No,No,No,No,No,No,Yes,,No,No,Yes,No,No,No,,2,My Network and positioning myself for opportunities through personal development,Female,Beyond Secondary School,37
3492,Yes,Yes,Yes,Yes,No,No,No,No,No,,No,No,Yes,Yes,No,No,,3,"I have never gotten a good job since after graduation from the university, worked in a makeup store for 5yrs with same salary no promotion which I had to quit. starting up a buisness is not easy because of the start up cost.",Female,Beyond Secondary School,32
3493,No,No,No,No,Yes,Yes,No,No,No,,No,Yes,Yes,No,No,No,,4,Education,Female,Beyond Secondary School,28
3494,No,No,No,No,No,Yes,No,No,No,,No,No,No,No,Yes,No,,3,Free university education and contacts,Female,Beyond Secondary School,24
3495,No,No,No,Yes,No,No,No,No,No,"Gender equality Plans, disclosure of pay gap, mentoring",No,No,Yes,No,Yes,No,,3,"My father through I was a genius, my mother had a job and I know that it was posible to be a good mother and persue independence and a professional carreer",Female,Beyond Secondary School,54
3496,No,No,No,Yes,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,3,My family has supported my education and also encourages me to go for my goals.,Female,Finished Secondary School,16
3497,No,No,No,No,No,No,No,Yes,No,"capacitación, educación técnica de calidad y co-responsabilidad de ambos padres en el hogar.",No,No,Yes,No,Yes,No,,2,El acceso a educación completa tanto secundaria como universitaria. El saber hacer valer mis derechos como ser humano.,Female,Beyond Secondary School,39
3498,No,No,No,Yes,No,No,No,No,No,,No,No,No,No,Yes,No,,1,,Female,Beyond Secondary School,60
3499,No,No,No,Yes,No,No,No,No,No,Equality in opportunities and pay,No,No,Yes,No,Yes,No,,1,My fathers´support and also my social status.,Female,Beyond Secondary School,32
3500,No,No,Yes,No,No,No,No,No,No,,No,Yes,No,No,No,No,,2,a good education and availability of opportunities,Female,Beyond Secondary School,64
3501,No,No,Yes,Yes,No,No,No,No,No,,No,No,No,No,Yes,No,,4,"Post Secondary Education, an inner drive to be independent & successful and having a supportive family. I've had to push through gender barriers and want to help other women get ahead.",Female,Finished Secondary School,42
3502,Yes,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,3,Throw better education and support from the family,Female,Finished Secondary School,28
3503,No,No,No,No,No,Yes,No,No,No,employment equity laws,No,No,No,No,Yes,No,,4,"education, encouragement, feminist beliefs of parents",Female,Beyond Secondary School,54
3504,Yes,Yes,Yes,No,No,Yes,No,No,No,,No,No,Yes,Yes,No,No,,5,Education,Male,Beyond Secondary School,29
3505,No,No,Yes,No,Yes,No,No,No,No,,No,No,No,Yes,Yes,No,,2,"Education, opportunities for working/developing skills",Female,Beyond Secondary School,49
3506,Yes,Yes,Yes,No,No,No,No,No,No,Changed attitude of women to respect men who want to be housemen and look after children.,No,No,No,No,No,No,"Their mother instinct and their traditional view of men's role (provider, social status)",5,Good education and willingness to take risks.,Female,Beyond Secondary School,46
3507,No,No,Yes,No,Yes,No,No,No,No,,Yes,No,No,No,Yes,No,,2,,Female,Beyond Secondary School,24
3508,No,No,No,No,Yes,Yes,No,No,No,,No,No,Yes,Yes,No,No,,3,family support,Female,Beyond Secondary School,30
3509,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,A good education and parents who talk me to believe in myself and stick up for myself.,Female,Beyond Secondary School,51
3510,Yes,No,Yes,No,No,Yes,No,No,No,,Yes,No,No,No,Yes,No,,2,Free education and low tertiary education fees; adults (women and men) who believed in and encouraged me; access to high quality childcare; collegial networks and engagement with the sector,Female,Beyond Secondary School,58
3511,No,No,No,Yes,No,No,No,Yes,No,,No,No,Yes,No,Yes,No,,3,,Female,Beyond Secondary School,43
3512,Yes,No,Yes,No,No,No,No,Yes,No,,No,Yes,No,No,Yes,No,,2,I have being striving in the agricultural sector to make sure am on the same page with the men if not more than them,Female,Beyond Secondary School,57
3513,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,2,My parents and my education,Female,Beyond Secondary School,23
3514,No,No,Yes,Yes,No,No,No,No,No,,No,No,No,No,Yes,No,Discrimination of women in powerful role in business,3,I had an owner give me a chance and then mentored me through out my employ with his company.  We are still friends to this day.,Female,Beyond Secondary School,54
3515,Yes,Yes,No,Yes,No,No,No,No,No,,No,No,No,Yes,No,No,,3,,Female,Beyond Secondary School,51
3516,No,No,No,No,No,No,No,No,No,changing the traditioal perception of women,No,No,No,No,Yes,No,,2,"hard, hard work and doing many a juggling acts to play may roles at the same time with very little help from your partner or the society and with many guilty feelings of not playing any role at its best",Female,Beyond Secondary School,70
3517,No,No,No,Yes,No,No,No,Yes,No,,No,No,Yes,No,Yes,No,,3,"j'ai un master 2 en gestion des ressources humaine,je suis en année de licence droit option carrière internationale, j ai un BTS en communication des entreprise,et enfin je suis porteuse d un projet d entrepreneuriat; malgré tous ces diplôme et volente d entreprendre je ne jus-qu la pas de travail j évolue en tant que volontaire dans plusieurs structures de jeune.",Female,Beyond Secondary School,27
3518,No,No,No,No,No,Yes,No,Yes,No,,No,No,No,Yes,Yes,No,,3,,Female,Beyond Secondary School,70
3519,No,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,Yes,No,No,,3,"Moral support from parents, oppties for internships, good education",Female,Beyond Secondary School,52
3520,Yes,Yes,Yes,No,No,No,No,No,No,"Marry in early 20s, have child, then a few years later fully refocus on career.",No,No,No,No,No,No,"Late or no marriage which leads to high instability and low ambition, hedonistic lifestyles.",5,"I married my first boyfriend at the age of 20 and had a child right away, which gave me the stability, support, and happiness in life that also made me successful in my professional life. In contrast, many of my friends lost themselves in hedonistic lifestyles full of doubts and instability. They are unambitious and unbalanced, as ultimately they have no family to care, work and live for.",Female,Beyond Secondary School,47
3521,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,2,,Female,Beyond Secondary School,32
3522,No,Yes,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,3,I think is Start a busness.,Female,Beyond Secondary School,36
3523,Yes,Yes,Yes,No,No,No,No,No,No,,No,No,No,Yes,No,No,,5,,Female,Beyond Secondary School,45
3524,Yes,,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,Yes,No,,2,"Good networking, good education, not being focussed on the fact I am female.  I have been fortunate to work for males who saw me for what I am not as a helpless female.   Females bosses were the worst to work for and caused me the most grief - jealousy, and kept telling me the males would prevent me from succeeding.",Female,Beyond Secondary School,61
3525,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,2,"Being born and educated before neoliberalism became the dominant socioeconomic framework means that I had higher expectations of social mobility and opportunities than working class women in the UK today. I had access to free university education including a maintenance grant, so I was able to get a degree without the anxiety of debt.",Female,Beyond Secondary School,54
3526,No,No,Yes,No,No,No,No,No,No,Equal opportunity for both sex,Yes,No,No,No,No,No,lack of resources and lack of job opportunities,1,"1.Education
2.skills and continuous effort
3.firm determination",Male,Beyond Secondary School,40
3527,No,No,No,No,No,No,No,No,No,Equal opportunities for men and women in leadership,No,No,No,No,Yes,No,,4,Empowerment from family and female role models,Other,Beyond Secondary School,28
3528,No,No,Yes,No,No,No,No,No,No,acceso al trabajo formal,No,No,Yes,No,Yes,No,,2,"1-ser joven, 2-tener buena presencia y 3-buenos contactos y relaciones, Pasados los 45 años, estando divorciada y con tres hijos a cargo, ya no me tomaron en relación de dependencia y empecé mi emprendimiento, que tuve que cerrar por la crisis económica del país en el 2001. De los 50 a los 60 me resultó muy difícil insertarme laboralmente, la edad es eliminatoria.",Female,Beyond Secondary School,60
3529,No,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,Yes,No,No,,3,"Education, family support, my determination",Female,Beyond Secondary School,78
3530,,No,No,Yes,No,No,No,Yes,No,,No,No,Yes,No,Yes,No,,2,Networking with other women,Female,Beyond Secondary School,29
3531,No,No,Yes,No,No,No,No,No,No,,No,No,Yes,No,No,No,,2,,Female,Beyond Secondary School,33
3532,No,No,Yes,No,No,No,No,No,No,Access to good start off guidance programs for ideas.,No,No,Yes,Yes,No,No,,3,"Having a good educational background in my current field and working for an employer and making the top 25% in it. However, I would like to own my own business to earn more but the responsibilities of single parenting,full time work has left little time to advance my education to my dream of the doctorate level. Having a disabled child increases that challenge as well",Female,Beyond Secondary School,44
3533,No,No,No,Yes,No,Yes,No,No,No,,No,No,No,No,Yes,No,,4,Being true to myself and not losing faith when faced with injustice.  I kept going and my persistance and faith won out in the end.,Female,Beyond Secondary School,39
3534,No,No,Yes,No,No,No,No,Yes,No,,No,No,No,Yes,No,No,Falta de oferta de trabajo,2,,Female,Beyond Secondary School,54
3535,No,No,Yes,No,No,No,No,No,Yes,,No,No,Yes,No,Yes,No,,2,My father's advice for women to do work pushed me to get job.,Female,Beyond Secondary School,83
3536,No,No,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,3,,Female,Beyond Secondary School,56
3537,No,No,No,No,No,Yes,No,No,No,,No,No,Yes,No,No,No,,3,education,Female,Beyond Secondary School,31
3538,No,No,Yes,No,Yes,No,No,No,No,,No,No,No,No,Yes,No,,2,,Male,Beyond Secondary School,73
3539,No,No,Yes,No,No,No,No,Yes,No,,No,Yes,No,Yes,No,No,,2,"A good education and family support. I was able to study and work
in a hospital setting with encouragement from my family before
making my decision to become a nurse.",Female,Beyond Secondary School,68
3540,Yes,Yes,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,No,No,Start up capital,5,,Female,Finished Secondary School,37
3541,Yes,Yes,No,Yes,No,No,No,No,No,,No,No,Yes,No,No,No,,5,"my own passion,living my dream,learning,networking with like minded,exposure,attending workshops,conference,using internet to learn,research,writing proposals for funding and empowering my community who have own me and appreciated what i do.partners and Donors.i have been working with civil society for the last 18yrs as a volunteer to date.",Male,Beyond Secondary School,45
3542,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,Education,Female,Beyond Secondary School,38
3543,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,Yes,No,No,,4,Having a good education.,Female,Beyond Secondary School,76
3544,No,No,Yes,No,No,Yes,No,No,No,,No,Yes,No,Yes,No,No,,4,,Female,Finished Primary School,16
3545,No,Yes,No,No,No,No,No,Yes,No,,No,No,No,No,Yes,No,,4,,Male,Beyond Secondary School,33
3546,No,No,No,No,No,No,No,No,Yes,"prevention and elimination of violence against women and girls, especially at work place",Yes,No,No,No,Yes,No,,1,"I quit my first job due to harassment, but I met people from feminist groups and now I'm working for an NGO. The salary is not as high as my former job but I am very satisfied with my work.",Female,Beyond Secondary School,29
3547,No,No,Yes,Yes,No,No,No,No,No,,No,No,No,Yes,Yes,No,,4,"Education, determination to play a serious role in development of my country and declaring early that my role as a professional was just as important as being a wife. My mother's confidence in us, whereby she made us believe that we could accomplish anything that we set out to do.",Female,Beyond Secondary School,73
3548,No,No,Yes,No,No,Yes,No,No,No,,No,No,No,Yes,No,No,,4,,Female,Beyond Secondary School,26
3549,No,No,Yes,No,No,No,No,No,No,Improved social recognition of women's role and their contribution to family incomes and livelihoods,No,No,Yes,No,Yes,No,,5,Coming from a Scandinavian country with equal access to education and other opportunities with me,Female,Beyond Secondary School,35
3550,No,No,Yes,No,No,No,No,No,No,"Un sistema de cuidado que incluya a infantes, personas en situación de discapacidad y adultos mayores",No,No,Yes,Yes,No,No,,4,"La formacion profesional, tener un grado de Maestria, haber diversificado mi experiencia profesional en diferentes sectores; yla capacitación continua.",Female,Beyond Secondary School,64
3551,No,No,No,No,Yes,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,Access to contraception/family planning and access to capital,Female,Beyond Secondary School,47
3552,No,No,No,No,Yes,Yes,No,No,No,,No,No,Yes,No,Yes,No,,1,studies,Female,Beyond Secondary School,36
3553,No,No,No,Yes,No,No,No,No,Yes,,No,No,Yes,No,Yes,No,,3,,Male,Finished Primary School,28
3554,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,Yes,No,No,,2,a college degree and marrying a wage earner that made it not neccesary to work full time outside the home,Female,Beyond Secondary School,62
3555,No,Yes,No,No,Yes,No,No,Yes,No,,No,No,Yes,No,No,Yes,,2,My family give me the support to get a good job,Female,Beyond Secondary School,35
3556,No,No,No,No,No,Yes,No,No,No,,No,No,Yes,No,No,No,,3,Having a positive mentor,Male,Beyond Secondary School,31
3557,Yes,No,Yes,No,No,No,No,Yes,No,,No,No,No,No,Yes,No,Patriachary,3,Good educational opportunity,Female,Beyond Secondary School,32
3558,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,Yes,No,No,,4,,Female,Beyond Secondary School,63
3559,,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,3,"Opportunity for good education, supportive family and good employment statistics",Female,Beyond Secondary School,80
3560,No,Yes,Yes,No,No,No,No,No,No,,No,No,No,Yes,No,No,,4,"My family support in education, health and enterpeneurship. Without them i wouldnt be what I am.",Female,Beyond Secondary School,27
3561,No,No,Yes,No,No,Yes,No,No,No,,No,Yes,No,No,Yes,No,,5,,Female,Beyond Secondary School,35
3562,No,No,Yes,No,No,No,No,No,Yes,,No,No,Yes,Yes,No,No,,2,,Female,Beyond Secondary School,45
3563,No,No,Yes,No,No,No,No,Yes,No,,No,No,No,Yes,No,No,,3,"Good education, opportunities, support from family and access and control over resources",Female,Beyond Secondary School,55
3564,No,No,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,4,,Male,Beyond Secondary School,41
3565,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,2,"Having knowledge about my rights, good education, being able to articulate my thoughts, justify and claim my rights. Setting limitations on what other have control over your time and resources and always learning, having supportive friends and given the space and supported by my husband to have career.",Female,Beyond Secondary School,42
3566,No,No,No,Yes,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,4,Help from friends and family. Guts and need.,Female,Beyond Secondary School,48
3567,No,No,Yes,No,No,No,No,No,No,,No,No,No,Yes,No,No,,4,,Female,Beyond Secondary School,40
3568,No,No,No,No,No,Yes,No,No,Yes,,No,No,Yes,No,Yes,No,,1,,Female,Beyond Secondary School,25
3569,No,No,Yes,No,No,No,No,No,Yes,,No,No,No,No,Yes,No,,3,"Determination, ambition",Female,Finished Primary School,20
3570,No,No,Yes,Yes,No,No,No,No,No,,No,No,No,Yes,Yes,No,,4,"Ma volonté, mes efforts et l'absence d'obstacles dans mon milieu professionnel. Le travail fait honnêtement et les bons résultats ont tout fait.",Female,Beyond Secondary School,66
3571,Yes,No,Yes,No,No,Yes,No,No,No,,No,No,No,No,Yes,Yes,,3,,Female,Beyond Secondary School,47
3572,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,2,Work hard,Female,Beyond Secondary School,45
3573,No,No,Yes,No,No,No,No,No,No,Equal opportunities in political participation and in decision making roles,No,No,No,No,No,No,Discriminatory laws,5,,Female,Beyond Secondary School,51
